summary_id,type,return_period,loss
1,1,1000.000000,623034.875000
1,1,500.000000,608045.062500
1,1,333.333333,603176.562500
1,1,250.000000,548925.437500
1,1,200.000000,529292.500000
1,1,166.666667,506067.062500
1,1,142.857143,502551.875000
1,1,125.000000,486777.000000
1,1,111.111111,474600.250000
1,1,100.000000,470917.593750
1,1,90.909091,462623.718750
1,1,83.333333,458927.406250
1,1,76.923077,458562.000000
1,1,71.428571,455810.125000
1,1,66.666667,434440.656250
1,1,62.500000,433299.906250
1,1,58.823529,433151.875000
1,1,55.555556,426049.812500
1,1,52.631579,419557.875000
1,1,50.000000,418945.843750
1,1,47.619048,409935.406250
1,1,45.454545,409452.843750
1,1,43.478261,407030.031250
1,1,41.666667,402257.406250
1,1,40.000000,399299.093750
1,1,38.461538,399119.718750
1,1,37.037037,387763.812500
1,1,35.714286,384395.437500
1,1,34.482759,381849.968750
1,1,33.333333,380662.593750
1,1,32.258065,377980.937500
1,1,31.250000,374794.000000
1,1,30.303030,374642.687500
1,1,29.411765,374036.125000
1,1,28.571429,367849.625000
1,1,27.777778,367759.125000
1,1,27.027027,366947.500000
1,1,26.315789,365354.468750
1,1,25.641026,359770.468750
1,1,25.000000,348555.000000
1,1,24.390244,346822.531250
1,1,23.809524,345541.093750
1,1,23.255814,341812.031250
1,1,22.727273,341732.125000
1,1,22.222222,341124.375000
1,1,21.739130,339373.625000
1,1,21.276596,333104.812500
1,1,20.833333,332846.125000
1,1,20.408163,332370.500000
1,1,20.000000,325667.562500
1,1,19.607843,323753.750000
1,1,19.230769,320170.156250
1,1,18.867925,319916.562500
1,1,18.518519,319027.156250
1,1,18.181818,317936.812500
1,1,17.857143,315926.781250
1,1,17.543860,313927.718750
1,1,17.241379,313586.000000
1,1,16.949153,311283.500000
1,1,16.666667,310850.250000
1,1,16.393443,310633.687500
1,1,16.129032,310498.250000
1,1,15.873016,309937.062500
1,1,15.625000,309409.625000
1,1,15.384615,306389.156250
1,1,15.151515,304695.468750
1,1,14.925373,304646.937500
1,1,14.705882,301823.968750
1,1,14.492754,298276.156250
1,1,14.285714,296389.593750
1,1,14.084507,295199.843750
1,1,13.888889,294803.500000
1,1,13.698630,294037.343750
1,1,13.513514,287774.750000
1,1,13.333333,287738.468750
1,1,13.157895,287307.812500
1,1,12.987013,286817.187500
1,1,12.820513,286610.437500
1,1,12.658228,285565.250000
1,1,12.500000,283820.500000
1,1,12.345679,283798.281250
1,1,12.195122,282655.250000
1,1,12.048193,282030.375000
1,1,11.904762,281970.718750
1,1,11.764706,281120.250000
1,1,11.627907,280815.500000
1,1,11.494253,279960.156250
1,1,11.363636,279790.750000
1,1,11.235955,279018.125000
1,1,11.111111,277802.062500
1,1,10.989011,277690.968750
1,1,10.869565,276341.093750
1,1,10.752688,275784.906250
1,1,10.638298,275715.843750
1,1,10.526316,275516.812500
1,1,10.416667,274847.718750
1,1,10.309278,274324.906250
1,1,10.204082,273924.687500
1,1,10.101010,273402.593750
1,1,10.000000,270962.343750
1,1,9.900990,270365.562500
1,1,9.803922,270126.187500
1,1,9.708738,266408.593750
1,1,9.615385,265988.562500
1,1,9.523810,265338.875000
1,1,9.433962,264643.687500
1,1,9.345794,264437.437500
1,1,9.259259,264156.187500
1,1,9.174312,264148.125000
1,1,9.090909,263732.062500
1,1,9.009009,263157.187500
1,1,8.928571,262127.500000
1,1,8.849558,261337.312500
1,1,8.771930,261061.968750
1,1,8.695652,261007.875000
1,1,8.620690,260293.437500
1,1,8.547009,259780.562500
1,1,8.474576,259725.625000
1,1,8.403361,258474.687500
1,1,8.333333,258134.218750
1,1,8.264463,257362.953125
1,1,8.196721,256568.156250
1,1,8.130081,254721.781250
1,1,8.064516,254445.750000
1,1,8.000000,253247.000000
1,1,7.936508,252155.312500
1,1,7.874016,248776.859375
1,1,7.812500,248054.218750
1,1,7.751938,247307.984375
1,1,7.692308,246853.140625
1,1,7.633588,246009.031250
1,1,7.575758,245877.562500
1,1,7.518797,245390.171875
1,1,7.462687,243445.562500
1,1,7.407407,242358.671875
1,1,7.352941,241888.156250
1,1,7.299270,240900.765625
1,1,7.246377,240508.000000
1,1,7.194245,240423.031250
1,1,7.142857,240143.078125
1,1,7.092199,239558.156250
1,1,7.042254,239450.687500
1,1,6.993007,238791.531250
1,1,6.944444,238303.187500
1,1,6.896552,238128.593750
1,1,6.849315,237229.625000
1,1,6.802721,236884.015625
1,1,6.756757,235560.812500
1,1,6.711409,233707.906250
1,1,6.666667,233539.484375
1,1,6.622517,232755.203125
1,1,6.578947,232663.750000
1,1,6.535948,232262.062500
1,1,6.493506,231614.937500
1,1,6.451613,231214.671875
1,1,6.410256,230936.218750
1,1,6.369427,230088.015625
1,1,6.329114,229662.156250
1,1,6.289308,229191.578125
1,1,6.250000,227581.343750
1,1,6.211180,227530.140625
1,1,6.172840,227026.187500
1,1,6.134969,227014.000000
1,1,6.097561,226812.968750
1,1,6.060606,226596.875000
1,1,6.024096,226483.843750
1,1,5.988024,226326.765625
1,1,5.952381,225123.093750
1,1,5.917160,224841.859375
1,1,5.882353,224801.906250
1,1,5.847953,224710.500000
1,1,5.813953,224514.921875
1,1,5.780347,223333.406250
1,1,5.747126,223260.562500
1,1,5.714286,222719.390625
1,1,5.681818,221879.843750
1,1,5.649718,221744.875000
1,1,5.617978,221606.312500
1,1,5.586592,221267.515625
1,1,5.555556,219846.843750
1,1,5.524862,219616.437500
1,1,5.494505,219349.781250
1,1,5.464481,217536.062500
1,1,5.434783,217288.078125
1,1,5.405405,216797.156250
1,1,5.376344,215805.906250
1,1,5.347594,215227.828125
1,1,5.319149,214871.968750
1,1,5.291005,214280.531250
1,1,5.263158,213965.875000
1,1,5.235602,212465.921875
1,1,5.208333,211271.031250
1,1,5.181347,209879.000000
1,1,5.154639,209433.859375
1,1,5.128205,209047.937500
1,1,5.102041,208888.656250
1,1,5.076142,208525.687500
1,1,5.050505,208066.968750
1,1,5.025126,206645.562500
1,1,5.000000,206281.109375
1,1,4.975124,205946.937500
1,1,4.950495,202883.531250
1,1,4.926108,202798.125000
1,1,4.901961,202560.125000
1,1,4.878049,202150.781250
1,1,4.854369,201247.625000
1,1,4.830918,200543.656250
1,1,4.807692,200505.281250
1,1,4.784689,199749.500000
1,1,4.761905,199147.312500
1,1,4.739336,198468.359375
1,1,4.716981,198297.656250
1,1,4.694836,197659.062500
1,1,4.672897,196077.046875
1,1,4.651163,195974.062500
1,1,4.629630,195421.875000
1,1,4.608295,195174.703125
1,1,4.587156,195017.718750
1,1,4.566210,194620.890625
1,1,4.545455,193678.796875
1,1,4.524887,192759.531250
1,1,4.504505,192631.312500
1,1,4.484305,192439.062500
1,1,4.464286,192004.890625
1,1,4.444444,191872.390625
1,1,4.424779,191546.171875
1,1,4.405286,191261.921875
1,1,4.385965,191015.156250
1,1,4.366812,190444.593750
1,1,4.347826,190095.937500
1,1,4.329004,188406.250000
1,1,4.310345,188176.671875
1,1,4.291845,188090.562500
1,1,4.273504,187916.437500
1,1,4.255319,187915.125000
1,1,4.237288,187266.156250
1,1,4.219409,186755.656250
1,1,4.201681,185820.562500
1,1,4.184100,185718.562500
1,1,4.166667,185374.062500
1,1,4.149378,185272.750000
1,1,4.132231,184939.500000
1,1,4.115226,184879.484375
1,1,4.098361,184787.218750
1,1,4.081633,184736.500000
1,1,4.065041,184055.078125
1,1,4.048583,183574.937500
1,1,4.032258,182607.406250
1,1,4.016064,182113.421875
1,1,4.000000,181904.125000
1,1,3.984064,180614.281250
1,1,3.968254,180495.687500
1,1,3.952569,180486.250000
1,1,3.937008,180299.500000
1,1,3.921569,180225.703125
1,1,3.906250,180195.343750
1,1,3.891051,180099.718750
1,1,3.875969,179666.687500
1,1,3.861004,178792.781250
1,1,3.846154,178490.531250
1,1,3.831418,177997.968750
1,1,3.816794,177049.531250
1,1,3.802281,176792.468750
1,1,3.787879,176135.312500
1,1,3.773585,176094.484375
1,1,3.759398,175729.812500
1,1,3.745318,174933.875000
1,1,3.731343,174762.187500
1,1,3.717472,174761.531250
1,1,3.703704,172449.250000
1,1,3.690037,171658.093750
1,1,3.676471,169790.546875
1,1,3.663004,169171.140625
1,1,3.649635,168890.656250
1,1,3.636364,168541.781250
1,1,3.623188,167620.109375
1,1,3.610108,167104.375000
1,1,3.597122,167049.687500
1,1,3.584229,166286.875000
1,1,3.571429,166255.531250
1,1,3.558719,165934.531250
1,1,3.546099,164507.906250
1,1,3.533569,164323.468750
1,1,3.521127,162706.296875
1,1,3.508772,162620.000000
1,1,3.496503,162586.468750
1,1,3.484321,162573.656250
1,1,3.472222,162393.718750
1,1,3.460208,162376.953125
1,1,3.448276,162256.703125
1,1,3.436426,161667.843750
1,1,3.424658,161219.406250
1,1,3.412969,160668.671875
1,1,3.401361,160154.718750
1,1,3.389831,159580.359375
1,1,3.378378,159302.078125
1,1,3.367003,158445.640625
1,1,3.355705,158439.406250
1,1,3.344482,157820.625000
1,1,3.333333,157407.312500
1,1,3.322259,157173.171875
1,1,3.311258,156799.843750
1,1,3.300330,156485.609375
1,1,3.289474,156185.546875
1,1,3.278689,155998.265625
1,1,3.267974,155406.031250
1,1,3.257329,153899.625000
1,1,3.246753,153350.718750
1,1,3.236246,152510.046875
1,1,3.225806,152376.140625
1,1,3.215434,152338.937500
1,1,3.205128,152329.859375
1,1,3.194888,151649.656250
1,1,3.184713,151196.750000
1,1,3.174603,151164.750000
1,1,3.164557,151012.312500
1,1,3.154574,150012.500000
1,1,3.144654,149787.843750
1,1,3.134796,149560.859375
