summary_id,type,event_id,mean,standard_deviation,exposure_value
1,1,1,98107.867188,0.000000,2299999.750000
1,2,1,14195.022461,0.000000,2299999.750000
1,1,2,55172.457031,0.000000,2299999.750000
1,2,2,100458.562500,0.000000,2299999.750000
1,1,3,88918.851562,0.000000,2299999.750000
1,2,3,50683.531250,0.000000,2299999.750000
1,1,4,107133.945312,0.000000,2299999.750000
1,2,4,73025.257812,0.000000,2299999.750000
1,1,5,114047.242188,0.000000,2299999.750000
1,2,5,11271.520508,0.000000,2299999.750000
1,1,6,35112.562500,0.000000,2299999.750000
1,2,6,56790.421875,0.000000,2299999.750000
1,1,7,105322.851562,0.000000,2299999.750000
1,2,7,127039.312500,0.000000,2299999.750000
1,1,8,146872.421875,0.000000,2299999.750000
1,2,8,128686.273438,0.000000,2299999.750000
1,1,9,44192.500000,0.000000,2299999.750000
1,2,9,55142.726562,0.000000,2299999.750000
1,1,10,149706.015625,0.000000,2299999.750000
1,2,10,57734.218750,0.000000,2299999.750000
1,1,11,70249.601562,0.000000,2299999.750000
1,2,11,86195.960938,0.000000,2299999.750000
1,1,12,104695.312500,0.000000,2299999.750000
1,2,12,105571.718750,0.000000,2299999.750000
1,1,13,145458.109375,0.000000,2299999.750000
1,2,13,91494.632812,0.000000,2299999.750000
1,1,14,88522.812500,0.000000,2299999.750000
1,2,14,82900.414062,0.000000,2299999.750000
1,1,15,85050.976562,0.000000,2299999.750000
1,2,15,77055.445312,0.000000,2299999.750000
1,1,16,52398.445312,0.000000,2299999.750000
1,2,16,97552.500000,0.000000,2299999.750000
1,1,17,157862.156250,0.000000,2299999.750000
1,2,17,66558.148438,0.000000,2299999.750000
1,1,18,23205.750000,0.000000,2299999.750000
1,2,18,25118.105469,0.000000,2299999.750000
1,1,19,113670.421875,0.000000,2299999.750000
1,2,19,98367.703125,0.000000,2299999.750000
1,1,20,148689.093750,0.000000,2299999.750000
1,2,20,64474.039062,0.000000,2299999.750000
1,1,21,137740.875000,0.000000,2299999.750000
1,2,21,112901.937500,0.000000,2299999.750000
1,1,22,169556.171875,0.000000,2299999.750000
1,2,22,64236.769531,0.000000,2299999.750000
1,1,23,91822.664062,0.000000,2299999.750000
1,2,23,68599.828125,0.000000,2299999.750000
1,1,24,138065.234375,0.000000,2299999.750000
1,2,24,30453.005859,0.000000,2299999.750000
1,1,25,11188.409180,0.000000,2299999.750000
